Page,,# ID,Account,Description,EIF,Min,Max,Interest,Dividend,Capital Gain,Rent,Income Min,Income Max
48,,40,Deutsche Asset & Wealth Management A/C 2,Home Depot,N/A,$0,"$1,001",y,,,,"$15,001","$50,000"
48,,41,Deutsche Asset & Wealth Management A/C 2,HSBC Finance Corp,N/A,$0,"$1,001",y,,,,"$5,001","$15,000"
48,,42,Deutsche Asset & Wealth Management A/C 2,Kellog Co,N/A,$0,"$1,001",y,,,,"$1,001","$2,500"
48,,43,Deutsche Asset & Wealth Management A/C 2,Kroger Co,N/A,$0,"$1,001",y,,,,"$15,001","$50,000"
48,,44,Deutsche Asset & Wealth Management A/C 2,MA Water Pollution-17B,N/A,$0,"$1,001",y,,,,"$1,001","$2,500"
48,,46,Deutsche Asset & Wealth Management A/C 2,Medco Health Solutions,N/A,$0,"$1,001",y,,,,"$2,501","$5,000"
48,,47,Deutsche Asset & Wealth Management A/C 2,Microsoft Corp,N/A,$0,"$1,001",y,,,,"$2,501","$5,000"
48,,49,Deutsche Asset & Wealth Management A/C 2,Phillips 66,N/A,$0,"$1,001",y,,,,"$1,001","$2,500"
48,,50,Deutsche Asset & Wealth Management A/C 2,Procter & Gamble Co,N/A,$0,"$1,001",y,,,,"$1,001","$2,500"
48,,51,Deutsche Asset & Wealth Management A/C 2,Province of Quebec,N/A,$0,"$1,001",y,,,,"$15,001","$50,000"
48,,52,Deutsche Asset & Wealth Management A/C 2,Reynolds American Inc,N/A,$0,"$1,001",y,,,,"$2,501","$5,000"
49,,53,Deutsche Asset & Wealth Management A/C 2,Sanofi,N/A,$0,"$1,001",y,,,,"$5,001","$15,000"
49,,55,Deutsche Asset & Wealth Management A/C 2,Trans-Canada Pipelines,N/A,$0,"$1,001",y,,,,"$2,501","$5,000"
49,,56,Deutsche Asset & Wealth Management A/C 2,Unitedhealth Group,N/A,$0,"$1,001",y,,,,"$2,501","$5,000"
50,,9,Family Trust 1,Deutsche X-Trackers MSCI EAF,y,"$1,000","$15,000",,,,,,
50,,12,Family Trust 1,Vanguard FTSE Europe ETF,y,"$1,000","$15,000",,,,,,
50,,13,Family Trust 1,Brown ADBV Japan Alpha Opp,y,"$1,000","$15,000",,,,,,
50,,14,Family Trust 1,JPM Global Resources ENH Index Fund,y,"$15,001","$50,000",,,,,,
50,,15,Family Trust 1,JPM Tax Free Money Marktert Inst Sweep Fund,N/A,"$1,000","$15,000",,,,,,
50,,16,Family Trust 1,JPM Interm Tax Free Bonmd FC-Institutional,y,"$1,000","$15,000",,,,,,
51,,19,Family Trust 1,Doubleline Total Return Bond I,y,"$1,001","$15,000",,,,,,
51,,22,Family Trust 1,Equinox Vance Global Macro,y,"$1,001","$15,000",,,,,,
51,,23,Family Trust 1,Equinox Funds TR IPM Systmatc,y,"$1,001","$15,000",,,,,,
51,,24,Family Trust 1,Goldman Sachs Strat Inc,y,"$1,001","$15,000",,,,,,
51,,25,Family Trust 1,Gotham Absolute Return,y,"$1,001","$15,000",,,,,,
51,,26,Family Trust 1,Matthews Pacific Tiger,y,$0,"$1,001",,,,,,
51,,27,Family Trust 1,Aston River RD Div All CAP,y,$0,"$1,001",,,,,,
51,,28,Family Trust 1,JPM Mid Cap Value Fund,y,$0,"$1,001",,,,,,
51,,6,Family Trust 2,iShares Russell Midcap Index Fund,y,"$15,001","$50,000",,,,,,
52,,9,Family Trust 2,Deutsche X-Trackers MSCI EAF,y,"$15,001","$50,000",,,,,,
52,,12,Family Trust 2,Vanguard FTSE Europe ETF,y,"$1,001","$15,000",,,,,,
52,,13,Family Trust 2,Brown ADV Japan Alpha Opp,y,"$1,001","$15,000",,,,,,
52,,15,Family Trust 2,JPM Tax Free Money Market Inst Sweep Fund,N/A,"$15,001","$50,000",,,,,,
52,,16,Family Trust 2,JPM SH Int Muni Bond Fund,y,"$1,001","$15,000",,,,,,
52,,19,Family Trust 2,Doubleline Total Return Bond I,y,"$1,001","$15,000",,,,,,
52,,22,Family Trust 2,Eaton Vance Global Macro,y,"$1,001","$15,000",,,,,,
52,,24,Family Trust 2,Goldman Sachs Strat Inc,y,"$1,001","$15,000",,,,,,
52,,25,Family Trust 2,Gotham Absolute Return,y,"$1,001","$15,000",,,,,,
53,,26,Family Trust 2,Matthews Pacific Tiger,y,$0,"$1,000",,,,,,
53,,27,Family Trust 2,Aston River RD Div All CAP,y,$0,"$1,000",,,,,,
53,,28,Family Trust 2,JPM Mid Cap Value Fund,y,$0,"$1,000",,,,,,
54,,29,Family Trust 3,Aston River RD Div All CAP,y,$0,"$1,001",,,,,,
53,,9,Family Trust 3,Aston/Picetet International,y,"$1,001","$15,000",,,,,,
54,,15,Family Trust 3,Brown ADV Japan Alpha Opp,y,"$1,001","$15,000",,,,,,
53,,10,Family Trust 3,Deutsche X-Trackers MSCI EAF,y,"$1,001","$15,000",,,,,,
54,,25,Family Trust 3,Double Total Return Bond,y,"$15,001","$50,000",,,,,,
54,,17,Family Trust 3,Eaton Vance Global Macro,y,"$1,001","$15,000",,,,,,
54,,18,Family Trust 3,Equinox Funds TR IPM Systmatc,y,"$1,001","$15,000",,,,,,
54,,19,Family Trust 3,Goldman Sachs Strat Inc,y,"$1,001","$15,000",,,,,,
54,,20,Family Trust 3,Gotham Absolute Return,y,"$1,001","$15,000",,,,,,
53,,12,Family Trust 3,GS Note of Notes EAFE BSKT 2/13/17,N/A,"$1,001","$15,000",,,,,,
54,,22,Family Trust 3,JPM Interm Tax Free Bonmd FC-Institutional,y,"$15,001","$50,000",,,,,,
54,,30,Family Trust 3,JPM Mid Cap Value Fund,y,$0,"$1,001",,,,,,
54,,21,Family Trust 3,JPM Tax Free Money Market Inst Sweep Fund,N/A,"$15,001","$50,000",,,,,,
54,,28,Family Trust 3,Matthews Pacific Tiger Fund,y,$0,"$1,001",,,,,,
54,,14,Family Trust 3,Vanguard FTSE Europe ETF,y,"$1,001","$15,000",,,,,,
